"MAIN SOCKET 1200 GEN 10TH"
"115774","Mainboard Gigabyte B460M DS3H V2","1,970,000đ","36(tháng)"
"115316","Mainboard Asrock H510M-HVS","1,390,000đ","36(tháng)"
"115212","Mainboard MSI MEG Z490 ACE","8,640,000đ","36(tháng)"
"114698","Mainboard Gigabyte H410M S2H V2","1,650,000đ","36(tháng)"
"114230","Mainboard Gigabyte H410M DS2V V2","1,540,000đ","36(tháng)"
"113837","Mainboard Asus ROG MAXIMUS XII FORMULA Z490 LGA1200","11,770,000đ","36(tháng)"
"113641","Mainboard Gigabyte Z590I Aorus Ultra (Z590I AORUS ULTRA)","6,790,000đ","36(tháng)"
"113559","Mainboard Gigabyte H410M H V2","1,530,000đ","36(tháng)"
"113541","Mainboard Asrock B560M-HDV","1,910,000đ","36(tháng)"
"112769","Mainboard Gigabyte B560 Aorus Pro AX (B560 AORUS PRO AX)","4,590,000đ","36(tháng)"
"112731","Mainboard Gigabyte B560M Aorus Elite (B560M AORUS ELITE)","3,090,000đ","36(tháng)"
"112660","Mainboard Asus H410M-CS Prime","1,510,000đ","36(tháng)"
"112109","Mainboard MSI Z590-A Pro","3,690,000đ","36(tháng)"
"111130","Mainboard Asus Z590-P Prime","4,290,000đ","36(tháng)"
"111103","Mainboard Asus ROG Strix Z590-F Gaming Wifi","6,590,000đ","36(tháng)"
"111088","Mainboard Asus ROG Strix Z590-A Gaming Wifi","7,590,000đ","36(tháng)"
"111076","Mainboard Asus ROG Strix Z590-E Gaming Wifi","8,390,000đ","36(tháng)"
"110064","Mainboard Gigabyte B560M Aorus Pro","3,190,000đ","36(tháng)"
"110055","Mainboard Gigabyte B560M DS3H","2,390,000đ","36(tháng)"
"109782","Mainboard MSI H410M Pro-E","1,510,000đ","36(tháng)"
"109098","Mainboard Gigabyte Z490 Vision G (Z490 VISION G)","5,485,000đ","36(tháng)"
"109083","Mainboard Asus ROG Strix Z490-H Gaming (LGA1200/ ATX/ DDR4/ VRM 12+2/ LAN 2.5Gb/ HDMI DP/ AURA Sync)","5,550,000đ","36(tháng)"
"108859","Mainboard Gigabyte Z590 UD","4,250,000đ","36(tháng)"
"108797","Mainboard Gigabyte Z590 Gaming X (Z590 GAMING X)","4,990,000đ","36(tháng)"
"108746","Mainboard Gigabyte Z590 Aorus Elite (Z590 AORUS ELITE)","5,870,000đ","36(tháng)"
"108483","Mainboard Asrock H470M-HDV","1,380,000đ","36(tháng)"
"100607","Mainboard MSI MEG Z490 UNIFY","7,990,000đ","36(tháng)"
"100573","Mainboard Asus B460M-Pro TUF Gaming (TUF GAMING B460M-PRO)","2,690,000đ","36(tháng)"
"96520","Mainboard Asus H410M-F Prime","1,490,000đ","36(tháng)"
"96387","Mainboard Asrock B460M Pro 4 (B460M Pro4)","2,150,000đ","36(tháng)"
"95748","Mainboard MSI MPG Z490M Gaming EDGE WIFI","5,900,000đ","36(tháng)"
"95440","Mainboard ECS H410H6-M7 V2.0","1,290,000đ","36(tháng)"
"85284","Mainboard MSI MAG B460M Mortar","2,450,000đ","36(tháng)"
"85223","Mainboard MSI MAG Z490 TOMAHAWK","5,070,000đ","36(tháng)"
"84480","Mainboard Gigabyte B460M Aorus Elite (B460M AORUS ELITE)","2,390,000đ","36(tháng)"
"80338","Mainboard Colorful CVN Z490 Gaming Frozen V20","4,180,000đ","48(tháng)"
"79517","Mainboard MSI MPG Z490 Gaming EDGE WIFI","5,890,000đ","36(tháng)"
"79321","Mainboard Asrock B460M-HDV","1,650,000đ","36(tháng)"
"77757","Mainboard Gigabyte H410M H","1,480,000đ","36(tháng)"
"71520","Mainboard Asus B460-H ROG Strix Gaming (ROG STRIX B460-H GAMING)","2,890,000đ","36(tháng)"
"71187","Mainboard Asus B460M-K Prime","1,750,000đ","36(tháng)"
"71178","Mainboard Asus H410M-E Prime","1,590,000đ","36(tháng)"
"71173","Mainboard Asus B460M-Plus TUF Gaming Wifi (TUF GAMING B460M-PLUS (WI-FI))","2,750,000đ","36(tháng)"
"71171","Mainboard Asus Z490-P Prime (LGA 1200/ ATX/ VRM 10+1/ DDR4/ AURA Sync)","3,590,000đ","36(tháng)"
"71168","Mainboard Asus B460M-Plus TUF Gaming (TUF GAMING B460M-PLUS)","2,420,000đ","36(tháng)"
"71167","Mainboard Asus TUF Gaming Z490-PLUS (LGA1200/ ATX/ VRM 12+2/ DDR4/ HDMI DP/ AURA Sync)","4,290,000đ","36(tháng)"
"70613","Mainboard MSI B460M-A Pro","1,890,000đ","36(tháng)"
"70597","Mainboard MSI H410M-A Pro","1,520,000đ","36(tháng)"
"68301","Mainboard Asus ROG Strix B460-F Gaming","3,450,000đ","36(tháng)"
"68021","Mainboard Asus H410M-K Prime","1,590,000đ","36(tháng)"
"67783","Mainboard Asus B460-G ROG Strix Gaming (ROG STRIX B460-G GAMING)","2,620,000đ","36(tháng)"
"66822","Mainboard MSI H410M Pro","1,550,000đ","36(tháng)"
"66753","Mainboard MSI B460M Pro","1,890,000đ","36(tháng)"
"66724","Mainboard MSI MAG B460M Bazooka","2,270,000đ","36(tháng)"
"66702","Mainboard MSI MAG B460 TOMAHAWK","3,190,000đ","36(tháng)"
"66482","Mainboard Gigabyte B460M Gaming HD","1,759,000đ","36(tháng)"
"64780","Mainboard Gigabyte Z490I Aorus Ultra (Z490I AORUS ULTRA)","6,009,000đ","36(tháng)"
"64747","Mainboard Gigabyte H470I Aorus Pro AX (H470I AORUS PRO AX)","4,880,000đ","36(tháng)"
"64738","Mainboard Asus H410M-D Prime","1,660,000đ","36(tháng)"
"64720","Mainboard Asus EX-B460M-V5 Expedition","1,760,000đ","36(tháng)"
"64582","Mainboard Gigabyte Z490 Vision D (Z490 VISION D)","7,480,000đ","36(tháng)"
"61110","Mainboard Asrock B460M Steel Legend (B460M Steel Legend)","2,490,000đ","36(tháng)"
"60752","Mainboard MSI Z490-A Pro","3,490,000đ","36(tháng)"
"60675","Mainboard Asus B460-Plus TUF Gaming (TUF GAMING B460-PLUS)","2,490,000đ","36(tháng)"
"59443","Mainboard Colorful Battle-AX B460M-D V20","1,670,000đ","36(tháng)"
"58350","Mainboard Gigabyte H410M DS2V","1,490,000đ","36(tháng)"
"57217","Mainboard Gigabyte B460M Aorus Pro (B460M AORUS PRO)","2,355,000đ","36(tháng)"
"56951","Mainboard Asrock H410M-HDV","1,370,000đ","36(tháng)"
"56943","Mainboard Asrock H410M-HVS","1,439,000đ","36(tháng)"
"56749","Mainboard Gigabyte H410M S2H","1,550,000đ","36(tháng)"
"56715","Mainboard Gigabyte B460M DS3H","1,895,000đ","36(tháng)"
"56663","Mainboard Gigabyte B460M D2V","1,750,000đ","36(tháng)"
"56590","Mainboard Colorful H410M-K Pro V20","1,450,000đ","36(tháng)"
"55816","Mainboard Asrock B460 Pro 4 (B460 Pro4)","2,150,000đ","36(tháng)"
"55103","Mainboard MSI MPG Z490 Gaming Plus","4,590,000đ","36(tháng)"
"54973","Mainboard Asrock Z490 Taichi (Z490 Taichi)","9,990,000đ","36(tháng)"
"54922","Mainboard Asrock Z490 Steel Legend (Z490 Steel Legend)","4,370,000đ","36(tháng)"
"54783","Mainboard Asrock Z490 Phantom Gaming 4 (Z490 Phantom Gaming 4)","2,950,000đ","36(tháng)"
"54764","Mainboard Asrock Z490M Pro 4 (Z490M Pro4)","3,250,000đ","36(tháng)"
"54737","Mainboard Asrock Z490 Pro 4 (Z490 Pro4)","3,390,000đ","36(tháng)"
"54712","Mainboard Gigabyte Z490 UD (Z490 UD)","3,590,000đ","36(tháng)"
"54693","Mainboard Gigabyte Z490 Gaming X (Z490 GAMING X)","4,350,000đ","36(tháng)"
"54674","Mainboard Gigabyte Z490 Aorus Ultra (Z490 AORUS ULTRA)","7,650,000đ","36(tháng)"
"54641","Mainboard Gigabyte Z490 Aorus Pro AX (Z490 AORUS PRO AX)","6,350,000đ","36(tháng)"
"54585","Mainboard Gigabyte Z490 Aorus Master (Z490 AORUS MASTER)","8,690,000đ","36(tháng)"
"54565","Mainboard Gigabyte Z490 Aorus Elite (Z490 AORUS ELITE)","5,280,000đ","36(tháng)"
"54532","Mainboard Asus TUF Gaming Z490-PLUS (WI-FI) (LGA1200/ ATX/ VRM 12+2/ DDR4/ WIFi6/ HDMI DP/ AURA Sync)","4,570,000đ","36(tháng)"
"54492","Mainboard Asus ROG Strix Z490-A Gaming (LGA1200/ ATX/ DDR4/ VRM 12+2/ LAN 2.5Gb/ HDMI DP/ AURA Sync)","5,690,000đ","36(tháng)"
"52211","Mainboard Asus ROG Strix Z490-F Gaming (LGA1200/ ATX/ DDR4/ VRM 14+2/ LAN 2.5Gb/ HDMI DP/ AURA Sync)","5,650,000đ","36(tháng)"
"52160","Mainboard Asus ROG Strix Z490-E Gaming (LGA1200/ ATX/ DDR4/ VRM 14+2/ WIFi6/ LAN 2.5Gb/ HDMI DP/ AURA Sync)","6,450,000đ","36(tháng)"
"MAIN SOCKET 2066 X-SERIES"
"184736","Mainboard Gigabyte B360M D3V","1,830,000đ","36(tháng)"
"31379","Mainboard MSI X299 Pro","5,590,000đ","36(tháng)"
"24104","Mainboard Gigabyte X299X Aorus Master","10,150,000đ","36(tháng)"
"23730","Mainboard Asus ROG Strix X299-E Gaming II","11,390,000đ","36(tháng)"
